bit_index,frac_ones,zscore,pvalue,significant_bonf
0,0.49988403868066267,-0.07303574939383087,0.941777669560651,0
1,0.5042401508505511,2.6705680539216576,0.007572301999904774,0
2,0.49916810357866714,-0.5239521152165003,0.6003118456438554,0
3,0.5012049893618093,0.7589367002226506,0.4478904235589516,0
4,0.4994706113682427,-0.3334240733195943,0.738814193901578,0
5,0.500408385515927,0.2572128565608249,0.797014459717662,0
6,0.5014268284074982,0.8986572642804352,0.36883524675353474,0
7,0.4990571840558228,-0.5938123972453577,0.5526375963242725,0
8,0.49892609734700666,-0.6763745487340391,0.498802872171775,0
9,0.5008419800143187,0.5303030499463773,0.5959018323973286,0
10,0.49859333877847356,-0.8859553948206113,0.37564156387030456,0
11,0.50103356828105,0.650970809814461,0.515065330050444,0
12,0.4998033699367759,-0.12384322723298716,0.9014394048614847,0
13,0.4977463169676619,-1.4194339121319621,0.1557725514765964,0
14,0.49869417470833205,-0.8224460475216658,0.41082308110918153,0
15,0.5026368595658005,1.6607694318680593,0.0967597626443868,0
16,0.5002772988071109,0.17465070507214345,0.8613541039568204,0
17,0.5008318964213329,0.5239521152165003,0.6003118456438554,0
18,0.4987345090802755,-0.7970423086020527,0.42542646005426743,0
19,0.501164654989866,0.7335329613030724,0.46323343186052757,0
20,0.49959161448407297,-0.2572128565608249,0.797014459717662,0
21,0.4992891066944974,-0.4477408984577309,0.6543402014873914,0
22,0.4973631404341995,-1.6607694318680593,0.0967597626443868,0
23,0.5001966300632241,0.12384322723298716,0.9014394048614847,0
24,0.49890593016103496,-0.6890764181938281,0.49077517908652446,0
25,0.4990571840558228,-0.5938123972453577,0.5526375963242725,0
26,0.5006806425265451,0.42868809426806476,0.6681502260559946,0
27,0.5011041534319509,0.6954273529237401,0.4867875236861863,0
28,0.49931935747345496,-0.4286880942680298,0.6681502260560201,0
29,0.499248772322554,-0.47314463737730905,0.6361099925061624,0
30,0.5004386362948846,0.27626566075052594,0.7823440286729486,0
31,0.5000756269473939,0.04763201047425273,0.9620095203055274,0
32,0.4993496082524125,-0.4096352900783637,0.6820735053650491,0
33,0.49984370430871927,-0.09843948831340901,0.9215833197925591,0
34,0.4982605802099404,-1.0955362409072185,0.2732817773169933,0
35,0.5025763580078854,1.6226638234886572,0.10466128883846149,0
36,0.5005092214457856,0.3207222038598052,0.7484209192402527,0
37,0.5000957941333656,0.06033387993400684,0.951889718800204,0
